id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1,0.247787611,0.397260274,0,0.068493151,0.106844741,0.14084507,0.098939929,0.567547724,0.606299213,0.137724551,0.153846154
2,0.283185841,0.520547945,0,0.116438356,0.143572621,0.338028169,0.215547703,0.494126285,0.362204724,0.209580838,0.215384615
3,0.283185841,0.438356164,0.04,0.095890411,0.133555927,0.197183099,0.169611307,0.508810573,0.409448819,0.191616766,0.215384615
4,0.584070796,0.109589041,0.56,0.068493151,0.105175292,0.225352113,0.190812721,0.582232012,0.330708661,0.149700599,0.215384615
5,0.247787611,0.397260274,0,0.068493151,0.106844741,0.14084507,0.098939929,0.567547724,0.606299213,0.137724551,0.153846154
6,0.247787611,0.369863014,0,0.061643836,0.105175292,0.169014085,0.120141343,0.567547724,0.606299213,0.137724551,0.153846154
7,0.292035398,0.328767123,0.06,0.047945205,0.095158598,0.197183099,0.187279152,0.464757709,0.440944882,0.077844311,0.153846154
8,0.238938053,0.363013699,0,0.020547945,0.088480801,0.197183099,0.053003534,0.332599119,0.511811024,0.083832335,0.246153846
9,0.283185841,0.315068493,0.02,0.075342466,0.101836394,0.112676056,0.042402827,0.494126285,0.488188976,0.143712575,0.169230769
10,0.256637168,0.260273973,0.36,0.356164384,0.098497496,0.225352113,0.339222615,0.567547724,0.480314961,0.281437126,0.323076923
11,0.185840708,0.315068493,0.08,0.061643836,0.141903172,0.197183099,0.208480565,0.42804699,0.42519685,0.125748503,0.123076923
12,0.256637168,0.260273973,0.36,0.356164384,0.098497496,0.225352113,0.339222615,0.567547724,0.480314961,0.281437126,0.323076923
13,0.088495575,0.339041096,0,0.047945205,0.128547579,0.211267606,0.187279152,0.310572687,0.661417323,0.113772455,0.230769231
14,0.283185841,0.335616438,0.29,0.047945205,0.170283806,0.112676056,0.081272085,0.538179148,0.409448819,0.736526946,0.107692308
15,0.380530973,0.342465753,0.18,0.198630137,0.273789649,0.718309859,0.491166078,0.626284875,0.330708661,0.329341317,0.123076923
16,0.380530973,0.342465753,0.19,0.205479452,0.263772955,0.704225352,0.501766784,0.626284875,0.338582677,0.359281437,0.123076923
17,0.345132743,0.109589041,0.56,0.061643836,0.133555927,0.478873239,0.342756184,0.501468429,0.440944882,0.251497006,0.323076923
18,0.309734513,0.301369863,0.28,0.054794521,0.594323873,0.211267606,0.176678445,0.494126285,0.291338583,0.568862275,0.138461538
19,0.247787611,0.321917808,0.08,0.239726027,0.123539232,0.070422535,0.081272085,0.538179148,0.503937008,0.101796407,0.092307692
20,0.292035398,0.136986301,0.51,0.061643836,0.549248748,0.225352113,0.176678445,0.501468429,0.236220472,0.449101796,0.123076923
21,0.380530973,0.068493151,0.48,0.061643836,0.10851419,0.394366197,0.190812721,0.494126285,0.511811024,0.119760479,0.153846154
22,0.265486726,0.184931507,0.31,0.095890411,0.116861436,0.309859155,0.229681979,0.5969163,0.614173228,0.191616766,0.2
23,0.292035398,0.212328767,0.21,0.047945205,0.156928214,0.126760563,0.109540636,0.479441997,0.338582677,0.347305389,0.169230769
24,0.345132743,0.253424658,0.11,0.095890411,0.120200334,0.112676056,0.215547703,0.494126285,0.338582677,0.119760479,0.153846154
25,0.203539823,0.191780822,0.14,0.102739726,0.121869783,0.281690141,0.120141343,0.494126285,0.543307087,0.179640719,0.2
26,0.150442478,0.184931507,0.16,0.034246575,0.113522538,0.14084507,0.060070671,0.398678414,0.472440945,0.137724551,0.138461538
27,0.265486726,0.198630137,0.24,0.061643836,0.113522538,0.042253521,0.017667845,0.450073421,0.42519685,0.155688623,0.169230769
28,0.292035398,0.212328767,0.21,0.047945205,0.156928214,0.126760563,0.109540636,0.479441997,0.338582677,0.347305389,0.169230769
29,0.221238938,0.404109589,0,0.068493151,0.113522538,0.183098592,0.102473498,0.52349486,0.57480315,0.131736527,0.153846154
30,0.283185841,0.359589041,0,0.075342466,0.116861436,0.098591549,0.035335689,0.464757709,0.503937008,0.155688623,0.215384615
31,0.185840708,0.380136986,0.07,0.102739726,0.128547579,0.225352113,0.268551237,0.420704846,0.480314961,0.125748503,0.261538462
32,0.203539823,0.386986301,0,0.109589041,0.155258765,0.295774648,0.109540636,0.479441997,0.566929134,0.143712575,0.338461538
33,0.327433628,0.366438356,0.12,0.095890411,0.118530885,0.197183099,0.378091873,0.479441997,0.338582677,0.19760479,0.215384615
34,0.203539823,0.332191781,0.12,0.671232877,0.101836394,0.549295775,0.272084806,0.677679883,0.559055118,0.113772455,0.153846154
35,0.053097345,0.136986301,0.25,0.061643836,0.151919866,0.169014085,0.155477032,0.413362702,0.503937008,0.131736527,0.123076923
36,0.283185841,0.359589041,0,0.315068493,0.123539232,0.056338028,0.042402827,0.626284875,0.519685039,0.131736527,0.184615385
37,0.283185841,0.328767123,0.14,0.102739726,0.123539232,0.028169014,0.03180212,0.545521292,0.535433071,0.161676647,0.369230769
38,0.309734513,0.178082192,0.28,0.082191781,0.09015025,0.169014085,0.084805654,0.494126285,0.385826772,0.239520958,0.2
39,0.097345133,0.691780822,0.09,0.04109589,0.267111853,0.084507042,0.045936396,0.288546256,0.598425197,0.089820359,0.215384615
40,0.238938053,0.226027397,0.36,0.342465753,0.103505843,0.154929577,0.286219081,0.567547724,0.464566929,0.299401198,0.323076923
